store_name,product_name,sale_price,regular_price
SAAMAAN.PK,Beme Ripper Gaming Earphones,"Rs.1,499.00 PKR","Rs.2,200.00 PKR"
SAAMAAN.PK,Lenovo HE05 Neckband Bluetooth,PKR,"Rs.1,999.00 PKR"
SAAMAAN.PK,X8 Ultra Smartwatch 49MM with Bluetooth Calling,PKR,"Rs.11,999.00 PKR"
SAAMAAN.PK,Gionee Handsfree (Original),PKR,N/A
SAAMAAN.PK,BEME Explorer 22.5W 10000mAH PowerBank,"Rs.7,999.00 PKR",N/A
SAAMAAN.PK,BEME Explorer Mini 22.5W 5000mAh PowerBank,"Rs.3,999.00 PKR","Rs.6,999.00 PKR"
SAAMAAN.PK,Lenovo LP10 True Wireless Headphones with ENC,PKR,"Rs.6,999.00 PKR"
SAAMAAN.PK,AYRing Temperature Affect Color Changing Mood Ring,PKR,Rs.999.00 PKR
SAAMAAN.PK,BEME Buds Pro 2 Max,PKR,"Rs.8,500.00 PKR"
SAAMAAN.PK,HryFine Smart Bracelet,PKR,"Rs.2,999.00 PKR"
SAAMAAN.PK,Magnetic Charging Cable - Braided LED Charging Cable,PKR,N/A
SAAMAAN.PK,Haylou GT1 Bluetooth 5.0 Sports HD Stereo Touch Control Ear Buds,PKR,N/A
SAAMAAN.PK,AKEKIO AE08 Stereo Handsfree,PKR,Rs.499.00 PKR
SAAMAAN.PK,"Camera Detector Anti-peep detector compact and portable, USB infrared anti-monitoring",PKR,N/A
SAAMAAN.PK,Bluedi Ambient Sensor LED Night Light With Smart Auto ON / Off,PKR,N/A
SAAMAAN.PK,HiWatch Pro T900 Ultra 2 Smart Watch,PKR,"Rs.2,999.00 PKR"
SAAMAAN.PK,Rgb magnetic charging cable,PKR,N/A
SAAMAAN.PK,YOLO Fortuner Calling Smart Watch with 1 Year Warranty,PKR,"Rs.8,999.00 PKR"
SAAMAAN.PK,Audionic Supreme X10 NeckBand,PKR,N/A
SAAMAAN.PK,"Tiktok,Instagram Bluetooth Remote 2023 Model",PKR,"Rs.1,499.00 PKR"
SAAMAAN.PK,Multifunctional Zoom Flashlight With Currency Checker,PKR,N/A
SAAMAAN.PK,Motion Sensor Light Wireless LED Night Light,PKR,N/A
SAAMAAN.PK,BEME Explorer PowerBank 2 22.5W 10000mAh,"Rs.4,999.00 PKR","Rs.8,000.00 PKR"
SAAMAAN.PK,"Mibro T1 Smart Watch with AMOLED Display, Bluetooth Calling (1 Month Warranty)",PKR,"Rs.15,999.00 PKR"
